,President - 1,President - 2
0,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
1,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
2,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
3,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
6,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
8,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
9,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
11,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
12,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
13,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
15,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
16,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
18,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
19,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
20,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
21,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
22,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
23,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
25,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
26,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
27,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
30,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
31,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
32,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
33,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
34,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
35,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
36,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
37,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
38,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
39,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
40,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
41,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
42,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
44,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
45,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
46,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
47,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
48,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
49,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
50,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
51,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
52,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
53,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
54,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
55,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
56,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
57,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
58,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
59,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
60,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
61,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
62,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
63,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
64,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
65,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
66,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
68,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
71,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
72,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
73,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
74,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
75,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
76,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
77,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
78,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
79,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
