Candidate                                                                            Votes  Status
---------------------------------------------------------------------------------  -------  --------
Carlos C. Vasquez | ElevateCal | Co-Chair, Disabled Students Commission | ♥         380.00  Elected
Megan Yao | Student Action | East Asian, International, Pre-Graduate | ♥            380.00  Elected
Stephanie Wong | ElevateCal | Asian American, SVSH, Housing, Reform | ♥             380.00  Elected
Emma Centeno | Independent | Eco Community Endorsed | ♥                             380.00  Elected
Shay Cohen | Independent | Jewish Community, SVSH, Transparency | ♥                 380.00  Elected
Deborah Kim | Independent | Christian, Mental Wellness, Com. Service | ♥            380.00  Elected
Shri Gopal | ElevateCal | Student Needs, STEM/Business, Greek Life | ♥              380.00  Elected
Akash Ponna | Student Action | Dance, Wellness, Equity & Inclusion | ♥              380.00  Elected
Charles Peng | Student Action | International, East Asian, & First-Gen | ♥          380.00  Elected
Mahathi Kandimalla | Student Action | Prehealth, Sexual Health, Student Needs | ♥   380.00  Elected
Anjali Jogia-Sattar | Student Action | South Asian Endorsed/Gender Equity | ♥       380.00  Elected
Manuel Cisneros Jr | Independent | #baddies4manny! | ♥                              375.31  Elected
Tyler Mahomes | Student Action | Greek Reform, Student Health, DEI | ♥              359.12  Elected
Deena Ali | Independent | MEMSSA* Endorsed Candidate | ♥                            329.02  Elected
Yasamin Hatefi | ElevateCal | Transfer, Housing, Tang Center Reform | ♥             321.51  Elected
Josh Lee | Independent | WILL ACTUALLY REPRESENT GREEK LIFE                         301.27  Elected
Kailen Grottel-Brown | Independent | ♥                                              294.57  Elected
Soha Manzoor | ElevateCal | ♥                                                       290.31  Elected
Thin Rati Oo | Independent | Activist: First-Gen, POC, Pre-Law | ♥                  256.51  Elected
Raymond Hufnagel | ElevateCal | Transition to Cal, Mental/Sexual Health | ♥         254.59  Elected
Bridgette Meshkani | Independent | Safety, MH, and PHC | ♥                          246.33  Rejected
Aryan Deorah | Independent | RSO Funding, Tech Equity | Independent | ♥               0.00  Rejected
Hitesh Kamisetty | Student Action | Engineering/STEM, Academic Access, DEI | ♥        0.00  Rejected
William Sutton | ElevateCal | Transfer, minority, and veteran support | ♥             0.00  Rejected
Osvaldo Barba | Independent | ♥                                                       0.00  Rejected
Jordan Ullman | Student Action | Jewish, Pre-Graduate, Student Wellness | ♥           0.00  Rejected
Lauren Hibbert | Student Action | Pre-Law, Business, and Consulting Access | ♥        0.00  Rejected
Brandon Beck | Independent | ♥                                                        0.00  Rejected
Ryusei Best Hayashi | Student Action | International—Entrepreneur—Environment | ♥     0.00  Rejected
Daniel “Berkeley Ender” Edrisian | Independent | ♥                                    0.00  Rejected
Daniel "Berkeley Ender" Edrisian | Independent | ♥                                    0.00  Rejected
Zach Mackin | Independent | ♥                                                         0.00  Rejected
Enrique Martinez | Independent | ♥                                                    0.00  Rejected
No Response                                                                           0.00  Rejected
Blank Votes                                                                         847.47  Rejected
